Name,Casno,Formula,hit_prob,match_factor,reverse_match_factor,rt1,rt2,Area,Height
"Silanol, trimethyl-",1066-40-6,C3H10OSi,85.19,912,918,6.565070689054933,0.4066265060240964,1255266274.0265393,12791085.005332949
"Cyclopentasiloxane, decamethyl-",541-2-6,C10H30O5Si5,84.54,866,875,23.072695930548218,0.5873493975903614,165438618.67366695,10344822.982968433
D-Limonene,5989-27-5,C10H16,18.87,874,878,20.071309523003983,1.25,46334880.95764475,10268743.749169692
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,53.69,728,912,41.58124544373765,0.46184738955823296,61432289.14152558,9825553.31117039
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,55.97,718,876,42.873509035874754,1.1696787148594376,9797637.290114785,9797637.290114785
Methyl isocyanide,593-75-9,C2H3N,64.55,921,988,5.126906368773321,0.8433734939759037,784913766.3897281,9662767.852584716
Benzaldehyde,100-52-7,C7H6O,62.75,920,932,19.320962921117925,1.25,464963103.7442644,9274004.351877231
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,58.77,749,926,41.95641874468068,0.060240963855421686,79637828.43687966,9245918.152091041
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,56.95,753,929,41.91473282235368,0.8634538152610441,77938680.33071107,9111519.767492238
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,57.89,736,913,41.45618767675664,1.1646586345381527,62228654.28114894,9192428.2500806
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,59.12,749,925,41.977261705844185,0.5120481927710844,77525929.16871215,9051425.75727979
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,59.48,724,882,42.91519495820176,0.36646586345381527,9456289.191157063,9456289.191157063
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,56.01,729,912,41.56040248257415,0.010040160642570281,27499521.929046188,9725214.114841174
Toluene,108-88-3,C7H8,55.1,932,938,11.275579912006298,0.6726907630522089,408704213.1974032,8936227.025969755
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,56.76,746,919,41.685460249555156,1.0140562248995983,78641270.61669411,9104193.448280705
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.2,754,926,41.85220393886317,1.214859437751004,75634801.69275597,8811302.969624883
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.85,759,926,41.893889861190175,0.41164658634538154,75737817.5451631,8814236.448259776
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,62.75,754,922,42.164848356315694,1.1646586345381527,75212217.09020558,8837083.193882335
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,65.34,756,926,41.83136097769967,0.7630522088353414,75182204.17313103,8806428.75035161
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.39,758,925,41.99810466700769,0.963855421686747,75697569.33270842,8806674.051673982
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,56.17,731,911,41.49787359908365,0.3614457831325301,62680536.67196907,9427526.471324785
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.33,725,888,42.85266607471125,0.7178714859437751,9277234.767167784,9277234.767167784
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,62.68,758,930,41.810518016536165,0.3112449799196787,75442426.20885396,8787841.511263205
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.92,751,919,42.2065342786427,0.3614457831325301,75207046.85331908,8823518.78698948
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,54.73,730,912,41.51871656024715,0.8132530120481928,9571751.796906183,9571751.796906183
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.37,743,917,41.41450175442964,0.26104417670682734,76519118.24005745,8791544.036515906
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.05,747,921,41.43534471559314,0.7128514056224899,61005725.068430565,8966544.614972107
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.19,755,927,41.768832094209166,1.1144578313253013,75908614.12821923,8824474.081645574
